ext,file_indices
308,"1,2"
362,1
440,1
495,1
497,"1,2,3"
498,"1,2,3,4"
511,1
622,"1,2,3"
637,"1,2,3,4"
738,"1,3,4"
763,"1,2,3,4"
805,"1,3,4"
806,1
812,1
813,1
814,"1,3,4"
824,1
825,"1,2,3,4"
831,"1,2,3,4"
863,"1,2,3,4"
866,1
873,1
879,"1,2,3,4"
4,2
27,2
29,2
134,2
147,2
148,2
158,2
301,2
313,2
363,"2,3"
467,2
625,"2,3,4"
639,2
675,2
681,2
724,"2,3"
753,2
773,2
776,2
829,2
836,"2,3"
5,3
9,3
10,3
19,3
26,3
43,3
44,3
101,3
105,3
115,"3,4"
159,"3,4"
168,3
175,"3,4"
190,3
201,3
203,"3,4"
208,3
209,3
310,3
338,3
345,3
353,3
365,3
382,3
383,3
384,3
388,3
398,"3,4"
418,3
423,3
496,3
499,3
539,3
623,3
643,3
645,3
646,3
647,3
648,3
649,3
655,3
657,3
658,3
660,3
692,3
697,3
728,"3,4"
731,3
795,"3,4"
809,3
810,3
818,3
822,3
823,3
832,3
835,3
850,"3,4"
855,3
858,3
869,3
185,4
761,4
